question,answer,category
"When will my order arrive?","Standard shipping takes 3-7 business days. You can track your order here: [tracking link]. If there's a delay, we'll notify you by email.","物流与追踪"
"How do I track my package?","A tracking number is sent to your email when the order ships. Click the link or enter it on the carrier's website.","物流与追踪"
"Do you ship internationally?","Yes! International orders take 7-21 days depending on destination. Customs fees may apply.","物流与追踪"
"What is your return policy?","We offer a 30-day return window. Items must be in original condition. Customized products cannot be returned unless defective.","退换货"
"How do I get a refund?","Once we receive the returned item, refunds are processed within 3-5 business days to your original payment method.","退换货"
"My item arrived damaged, what do I do?","I'm sorry about that! Please send photos of the damage to our support email within 48 hours. We'll send a replacement or refund promptly.","退换货"
"Can I add a name or photo to this product?","Absolutely! Leave your customization details in the order notes at checkout. Custom orders add 1-2 extra processing days.","定制与个性化"
"Is the print permanent or will it fade?","We use dye-sublimation printing — the ink bonds into the fibers. With proper care (cold wash, air dry), it won't fade or crack.","定制与个性化"
"What material is this made of?","This is made of premium [material]. See the full specs on the product page for detailed material composition.","产品材质与质量"
"Can I wash this in the washing machine?","We recommend cold hand wash and lay flat to dry. Avoid bleach and tumble dry to maintain quality.","产品材质与质量"
"What size should I choose?","Check the size chart in the product images. If you're between sizes, we recommend sizing up. Feel free to share your measurements and I'll help!","尺寸与适配"
"Do you offer gift wrapping?","We don't do traditional gift wrap, but we can include a handwritten gift note — just leave your message in the order notes!","礼品与包装"
"Will the price be visible in the package?","No! All packages are plain boxes/bags with no branding or price information. Perfect for gifts.","礼品与包装"
"Can I cancel or modify my order?","You can cancel within 1 hour of placing the order. After that, modifications depend on the production stage — contact us ASAP.","订单与支付"
"What payment methods do you accept?","We accept credit cards, PayPal, Apple Pay, and Google Pay. All transactions are secure and encrypted.","订单与支付"
